,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor,mean_newts_buffer,mean_ponds_buffer,mean_newts_corridor,mean_ponds_corridor
0,29.0,38.0,5.0,6.0,34.72727272727273,5.7272727272727275,40.54545454545455,6.545454545454546
1,165.0,136.0,7.0,7.0,172.0,7.0,134.45454545454547,7.0
2,6.0,0.0,1.0,0.0,3.909090909090909,1.0,3.6363636363636362,0.6363636363636364
3,42.0,46.0,7.0,7.0,47.18181818181818,7.0,37.27272727272727,6.636363636363637
4,58.0,23.0,7.0,4.0,44.72727272727273,6.909090909090909,21.0,4.363636363636363
5,38.0,30.0,6.0,5.0,39.54545454545455,5.7272727272727275,27.818181818181817,4.545454545454546
6,46.0,17.0,7.0,5.0,51.63636363636363,7.0,26.727272727272727,4.909090909090909
7,54.0,30.0,7.0,6.0,50.63636363636363,7.0,37.27272727272727,6.2727272727272725
8,18.0,0.0,3.0,0.0,15.454545454545455,3.5454545454545454,3.6363636363636362,0.6363636363636364
9,172.0,137.0,7.0,7.0,173.45454545454547,7.0,144.1818181818182,7.0
10,92.0,0.0,7.0,0.0,115.9090909090909,7.0,3.727272727272727,0.7272727272727273
11,142.0,99.0,7.0,7.0,138.9090909090909,7.0,102.81818181818181,7.0
12,127.0,80.0,7.0,7.0,127.81818181818181,7.0,59.18181818181818,6.090909090909091
13,149.0,57.0,7.0,4.0,135.0,7.0,48.27272727272727,4.454545454545454
14,118.0,78.0,7.0,5.0,130.45454545454547,7.0,75.18181818181819,5.2727272727272725
15,117.0,90.0,7.0,7.0,137.8181818181818,7.0,76.27272727272727,6.363636363636363
16,48.0,45.0,5.0,5.0,57.45454545454545,5.909090909090909,42.81818181818182,5.181818181818182
17,41.0,18.0,4.0,3.0,38.36363636363637,4.545454545454546,27.181818181818183,3.6363636363636362
18,98.0,113.0,7.0,7.0,109.9090909090909,7.0,94.54545454545455,7.0
19,40.0,20.0,6.0,4.0,41.36363636363637,4.909090909090909,28.363636363636363,4.090909090909091
20,39.0,35.0,6.0,5.0,43.72727272727273,6.0,40.72727272727273,5.181818181818182
21,72.0,50.0,6.0,6.0,73.36363636363636,6.818181818181818,50.0,5.545454545454546
22,57.0,13.0,7.0,1.0,63.09090909090909,7.0,12.454545454545455,1.5454545454545454
23,80.0,45.0,7.0,7.0,77.63636363636364,7.0,54.0,7.0
24,112.0,76.0,7.0,5.0,97.36363636363636,7.0,62.54545454545455,5.181818181818182
25,15.0,20.0,1.0,3.0,12.545454545454545,1.2727272727272727,24.90909090909091,3.5454545454545454
