,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor
0,78.0,65.0,6.0,6.0
1,99.0,83.0,7.0,7.0
2,162.0,176.0,7.0,7.0
3,33.0,71.0,5.0,7.0
4,108.0,73.0,7.0,6.0
5,74.0,93.0,6.0,7.0
6,84.0,75.0,7.0,7.0
7,89.0,89.0,7.0,7.0
8,82.0,88.0,6.0,7.0
9,90.0,81.0,7.0,7.0
10,105.0,78.0,7.0,7.0
11,90.0,83.0,7.0,7.0
12,160.0,130.0,7.0,7.0
13,81.0,78.0,7.0,7.0
14,183.0,173.0,7.0,7.0
15,159.0,132.0,7.0,7.0
16,139.0,133.0,7.0,7.0
17,161.0,141.0,7.0,7.0
18,166.0,138.0,7.0,7.0
19,150.0,145.0,7.0,7.0
20,150.0,112.0,7.0,7.0
21,137.0,119.0,6.0,7.0
22,161.0,142.0,7.0,7.0
23,168.0,140.0,7.0,7.0
24,12.0,20.0,2.0,3.0
25,28.0,54.0,4.0,6.0
26,32.0,0.0,6.0,0.0
27,0.0,0.0,0.0,0.0
28,68.0,49.0,7.0,7.0
29,54.0,37.0,7.0,6.0
30,87.0,22.0,6.0,2.0
31,16.0,36.0,3.0,6.0
32,39.0,24.0,5.0,3.0
33,63.0,42.0,7.0,4.0
34,63.0,25.0,7.0,4.0
35,19.0,28.0,4.0,4.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,17.0,2.0,3.0,1.0
39,0.0,0.0,0.0,0.0
40,0.0,4.0,0.0,1.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,21.0,0.0,3.0,0.0
47,0.0,0.0,0.0,0.0
48,29.0,9.0,4.0,3.0
49,17.0,1.0,6.0,1.0
50,69.0,81.0,7.0,7.0
51,44.0,37.0,7.0,7.0
52,43.0,3.0,6.0,1.0
53,41.0,27.0,7.0,4.0
54,30.0,16.0,5.0,3.0
55,31.0,41.0,4.0,7.0
56,11.0,15.0,3.0,3.0
57,32.0,45.0,4.0,7.0
58,47.0,19.0,7.0,4.0
59,37.0,33.0,5.0,7.0
60,87.0,89.0,6.0,6.0
61,28.0,43.0,4.0,6.0
62,112.0,118.0,7.0,7.0
63,101.0,121.0,7.0,7.0
64,90.0,122.0,6.0,7.0
65,101.0,117.0,7.0,7.0
66,89.0,121.0,6.0,7.0
67,135.0,100.0,7.0,6.0
68,101.0,57.0,7.0,5.0
69,92.0,93.0,7.0,6.0
70,56.0,77.0,7.0,6.0
71,98.0,69.0,7.0,7.0
72,25.0,0.0,2.0,0.0
73,59.0,0.0,5.0,0.0
74,18.0,0.0,2.0,0.0
75,51.0,0.0,5.0,0.0
76,62.0,33.0,5.0,5.0
77,50.0,6.0,4.0,2.0
78,49.0,0.0,5.0,0.0
79,39.0,0.0,3.0,0.0
80,24.0,12.0,3.0,3.0
81,60.0,0.0,5.0,0.0
82,53.0,0.0,5.0,0.0
83,46.0,0.0,4.0,0.0
84,17.0,0.0,2.0,0.0
85,71.0,26.0,7.0,4.0
86,19.0,0.0,4.0,0.0
87,9.0,0.0,2.0,0.0
88,0.0,5.0,0.0,2.0
89,17.0,0.0,3.0,0.0
90,5.0,7.0,1.0,2.0
91,37.0,0.0,6.0,0.0
92,33.0,29.0,5.0,4.0
93,33.0,4.0,4.0,1.0
94,10.0,0.0,2.0,0.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0
98,26.0,23.0,4.0,5.0
99,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
102,1.0,0.0,1.0,0.0
103,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0
105,10.0,0.0,3.0,0.0
106,3.0,0.0,1.0,0.0
107,0.0,0.0,0.0,0.0
108,8.0,10.0,3.0,4.0
109,0.0,0.0,0.0,0.0
110,16.0,68.0,2.0,7.0
111,0.0,0.0,0.0,0.0
112,41.0,0.0,5.0,0.0
113,4.0,5.0,1.0,1.0
114,13.0,9.0,3.0,2.0
115,24.0,33.0,6.0,5.0
116,1.0,12.0,1.0,2.0
117,12.0,18.0,3.0,3.0
118,9.0,24.0,2.0,5.0
119,23.0,16.0,3.0,3.0
