"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"experiment"
"10/25/2021 17:59:42:969 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","number-of-startind","movement-in-forest","max-timesteps","current-scenario","cropland-movement-cost","angle-for-viewing-ponds-and-woodland","woodland-movement-cost","mortality-decrease-with-buffer","distance-for-viewing-ponds-and-woodland","movement-energy","one-pond-without-starting-newts","both-scenarios","mean-number-of-female-offspring","mean-adult-mortality-prob","[step]","newts-buffer","newts-corridor","newts-corridor-pond1","newts-buffer-pond1","occupied-ponds-corridor","occupied-ponds-buffer"
"5","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","40","8","0","11","2","4"
"2","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","14","32","0","0","4","2"
"9","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","14","40","5","10","5","3"
"11","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","50","54","12","5","5","6"
"10","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","56","51","6","3","7","7"
"6","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","54","50","10","12","6","6"
"8","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","46","45","13","9","6","6"
"3","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","17","51","5","7","7","3"
"4","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","40","39","0","2","6","6"
"7","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","47","18","5","0","4","6"
"12","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","20","47","1","0","6","4"
"1","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","47","54","15","12","6","6"
"13","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","23","23","5","0","4","5"
"14","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","38","31","0","0","4","4"
"18","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","24","38","8","0","5","4"
"17","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","51","42","0","9","6","6"
"15","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","43","45","11","12","6","4"
"21","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","53","71","0","12","6","6"
"20","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","26","44","10","2","6","5"
"22","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","30","48","2","9","5","4"
"19","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","78","6","0","14","1","7"
"16","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","61","36","5","3","5","7"
"23","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","37","65","7","0","7","6"
"25","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","41","69","9","1","7","5"
"24","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","65","55","3","0","7","6"
"26","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","52","57","3","8","7","6"
"28","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","34","61","7","0","6","4"
"27","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","29","55","9","10","6","4"
"30","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","40","56","11","5","7","5"
"31","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","38","66","10","14","7","4"
"29","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","62","37","4","10","6","7"
"32","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","69","57","6","8","7","7"
"33","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","62","74","7","14","7","7"
"34","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","27","59","10","0","7","5"
"35","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","52","56","9","9","6","6"
"37","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","55","70","12","12","7","7"
"36","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","67","56","0","9","6","7"
"38","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","38","62","8","4","7","5"
"40","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","50","63","6","11","7","5"
"39","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2","700","false","true","5","0.2","99","55","65","10","1","7","6"
"43","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","26","63","8","0","7","3"
"45","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","53","28","0","10","5","6"
"41","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","44","62","5","10","7","7"
"42","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","51","62","14","0","6","6"
"44","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","66","68","7","12","7","7"
"46","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","75","57","3","10","7","7"
"47","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","40","56","12","3","7","5"
"49","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","50","63","9","8","7","6"
"48","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","67","69","15","11","7","7"
"51","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","63","54","11","9","6","7"
"50","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","74","59","8","8","7","7"
"54","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","65","55","8","14","7","6"
"53","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","62","58","6","0","7","6"
"52","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","63","68","6","8","7","7"
"55","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","69","46","7","12","6","7"
"59","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3","700","false","true","5","0.2","99","57","71","14","16","7","6"
