,mortality_decrease,movement_energy,corridor_netws,corridor_year,buffer_netws,buffer_year
0,0.01,200.0,45.0,8.0,21.0,-999.0
1,0.01,288.8888888888889,46.0,2.0,39.0,7.0
2,0.01,377.77777777777777,41.0,15.0,44.0,-999.0
3,0.01,466.6666666666666,47.0,3.0,47.0,4.0
4,0.01,555.5555555555555,52.0,2.0,43.0,4.0
5,0.01,644.4444444444445,51.0,2.0,57.0,8.0
6,0.01,733.3333333333333,54.0,2.0,35.0,3.0
7,0.01,822.2222222222222,58.0,8.0,48.0,10.0
8,0.01,911.1111111111112,60.0,1.0,70.0,2.0
9,0.01,1000.0,57.0,2.0,63.0,10.0
10,0.0255555555555555,200.0,49.0,3.0,31.0,-999.0
11,0.0255555555555555,288.8888888888889,65.0,2.0,41.0,9.0
12,0.0255555555555555,377.77777777777777,46.0,6.0,54.0,2.0
13,0.0255555555555555,466.6666666666666,61.0,1.0,47.0,3.0
14,0.0255555555555555,555.5555555555555,52.0,2.0,48.0,2.0
15,0.0255555555555555,644.4444444444445,53.0,2.0,45.0,2.0
16,0.0255555555555555,733.3333333333333,55.0,5.0,57.0,2.0
17,0.0255555555555555,822.2222222222222,40.0,2.0,60.0,10.0
18,0.0255555555555555,911.1111111111112,45.0,11.0,47.0,6.0
19,0.0255555555555555,1000.0,45.0,8.0,59.0,2.0
20,0.0411111111111111,200.0,59.0,2.0,39.0,-999.0
21,0.0411111111111111,288.8888888888889,35.0,3.0,36.0,-999.0
22,0.0411111111111111,377.77777777777777,52.0,2.0,47.0,2.0
23,0.0411111111111111,466.6666666666666,62.0,1.0,53.0,10.0
24,0.0411111111111111,555.5555555555555,44.0,3.0,39.0,42.0
25,0.0411111111111111,644.4444444444445,42.0,2.0,52.0,2.0
26,0.0411111111111111,733.3333333333333,54.0,2.0,62.0,2.0
27,0.0411111111111111,822.2222222222222,50.0,1.0,47.0,6.0
28,0.0411111111111111,911.1111111111112,45.0,3.0,56.0,22.0
29,0.0411111111111111,1000.0,54.0,-999.0,40.0,-999.0
30,0.0566666666666666,200.0,31.0,2.0,0.0,-999.0
31,0.0566666666666666,288.8888888888889,55.0,3.0,41.0,-999.0
32,0.0566666666666666,377.77777777777777,61.0,1.0,52.0,4.0
33,0.0566666666666666,466.6666666666666,62.0,2.0,36.0,3.0
34,0.0566666666666666,555.5555555555555,76.0,2.0,50.0,4.0
35,0.0566666666666666,644.4444444444445,63.0,2.0,66.0,23.0
