,mortality_decrease,movement_energy,corridor_netws,corridor_year,buffer_netws,buffer_year
0,0.08777777777777776,200.0,46.0,5.0,0.0,-999.0
1,0.08777777777777776,288.8888888888889,46.0,2.0,45.0,70.0
2,0.08777777777777776,377.77777777777777,42.0,5.0,38.0,12.0
3,0.08777777777777776,466.66666666666663,58.0,2.0,34.0,-999.0
4,0.08777777777777776,555.5555555555555,41.0,2.0,57.0,3.0
5,0.08777777777777776,644.4444444444445,68.0,2.0,49.0,4.0
6,0.08777777777777776,733.3333333333333,52.0,5.0,53.0,14.0
7,0.08777777777777776,822.2222222222222,55.0,7.0,49.0,16.0
8,0.08777777777777776,911.1111111111111,50.0,3.0,55.0,3.0
9,0.08777777777777776,1000.0,60.0,2.0,56.0,3.0
10,0.10333333333333332,200.0,57.0,9.0,45.0,21.0
11,0.10333333333333332,288.8888888888889,51.0,3.0,27.0,-999.0
12,0.10333333333333332,377.77777777777777,45.0,3.0,35.0,34.0
13,0.10333333333333332,466.66666666666663,61.0,2.0,33.0,-999.0
14,0.10333333333333332,555.5555555555555,30.0,-999.0,63.0,9.0
15,0.10333333333333332,644.4444444444445,60.0,3.0,58.0,3.0
16,0.10333333333333332,733.3333333333333,31.0,1.0,40.0,3.0
17,0.10333333333333332,822.2222222222222,62.0,2.0,59.0,2.0
18,0.10333333333333332,911.1111111111111,52.0,2.0,72.0,2.0
19,0.10333333333333332,1000.0,67.0,2.0,57.0,2.0
20,0.11888888888888886,200.0,43.0,2.0,53.0,10.0
21,0.11888888888888886,288.8888888888889,38.0,2.0,25.0,127.0
22,0.11888888888888886,377.77777777777777,35.0,2.0,65.0,22.0
23,0.11888888888888886,466.66666666666663,68.0,2.0,50.0,-999.0
24,0.11888888888888886,555.5555555555555,33.0,2.0,65.0,10.0
25,0.11888888888888886,644.4444444444445,48.0,4.0,60.0,11.0
26,0.11888888888888886,733.3333333333333,42.0,13.0,50.0,10.0
27,0.11888888888888886,822.2222222222222,42.0,4.0,58.0,22.0
28,0.11888888888888886,911.1111111111111,37.0,3.0,61.0,2.0
29,0.11888888888888886,1000.0,69.0,2.0,77.0,13.0
30,0.13444444444444442,200.0,29.0,2.0,23.0,-999.0
31,0.13444444444444442,288.8888888888889,56.0,2.0,13.0,-999.0
32,0.13444444444444442,377.77777777777777,58.0,16.0,45.0,-999.0
33,0.13444444444444442,466.66666666666663,30.0,-999.0,41.0,210.0
34,0.13444444444444442,555.5555555555555,35.0,2.0,71.0,9.0
35,0.13444444444444442,644.4444444444445,52.0,4.0,64.0,2.0
36,0.13444444444444442,733.3333333333333,41.0,4.0,51.0,18.0
37,0.13444444444444442,822.2222222222222,60.0,2.0,67.0,8.0
38,0.13444444444444442,911.1111111111111,48.0,5.0,60.0,14.0
39,0.13444444444444442,1000.0,56.0,2.0,51.0,2.0
40,0.15,200.0,56.0,4.0,37.0,-999.0
41,0.15,288.8888888888889,54.0,3.0,23.0,-999.0
42,0.15,377.77777777777777,30.0,-999.0,69.0,59.0
