"BehaviorSpace results (NetLogo 6.2.1)"
"model/crested_newt.nlogo"
"experiment_2"
"10/26/2021 14:43:42:132 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","number-of-startind","movement-in-forest","max-timesteps","current-scenario","cropland-movement-cost","angle-for-viewing-ponds-and-woodland","woodland-movement-cost","mortality-decrease-with-buffer","distance-for-viewing-ponds-and-woodland","movement-energy","one-pond-without-starting-newts","both-scenarios","mean-number-of-female-offspring","mean-adult-mortality-prob","[step]","newts-buffer","newts-corridor","newts-corridor-pond1","newts-buffer-pond1","occupied-ponds-corridor","occupied-ponds-buffer"
"1","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","51","43","12","7","5","6"
"13","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","54","30","4","10","6","5"
"15","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","33","60","8","13","6","5"
"12","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","21","48","6","0","6","5"
"16","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","45","41","6","0","5","5"
"17","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","36","72","13","0","7","4"
"8","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","37","70","12","0","7","4"
"2","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","62","16","3","6","3","6"
"4","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","52","61","10","8","6","6"
"5","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","37","74","14","13","7","5"
"20","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","46","57","9","13","6","6"
"10","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","54","51","14","13","5","7"
"14","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","47","44","9","10","5","6"
"19","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","41","58","12","7","7","6"
"7","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","38","50","11","4","7","6"
"3","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","71","70","6","12","7","7"
"11","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","44","70","14","8","7","7"
"9","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","60","39","9","14","5","7"
"6","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","49","52","8","11","7","7"
"18","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","62","48","14","12","6","7"
"21","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","60","36","9","7","5","7"
"30","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","14","42","11","8","7","2"
"28","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","44","50","2","6","7","5"
"24","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","57","48","6","0","6","6"
"22","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","37","52","9","0","7","5"
"25","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","36","55","13","11","6","3"
"34","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","51","50","8","7","6","6"
"23","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","63","48","9","9","6","7"
"29","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","48","81","11","0","7","6"
"27","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","46","74","12","11","7","7"
"26","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","40","69","9","6","7","6"
"31","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","54","49","12","10","6","6"
"32","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","32","63","15","11","7","4"
"36","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","42","69","10","2","7","6"
"38","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","65","65","11","9","7","7"
"40","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","45","63","10","10","7","5"
"39","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","49","65","16","6","7","5"
"33","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","44","72","13","7","7","6"
"37","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","65","54","10","9","7","6"
"35","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","2.5","700","false","true","5","0.2","99","60","57","13","11","6","7"
"42","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","48","46","2","11","6","5"
"41","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","44","49","9","8","7","6"
"45","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","64","60","5","12","7","6"
"43","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","52","54","0","0","6","6"
"48","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","74","47","7","14","6","7"
"47","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","62","52","0","5","6","6"
"44","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","62","65","6","7","7","7"
"51","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","29","72","10","0","7","4"
"50","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","76","57","6","12","7","7"
"54","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","45","67","8","12","7","4"
"49","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","48","63","7","10","7","5"
"52","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","88","52","2","11","6","7"
"53","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","41","50","8","8","7","6"
"46","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","51","61","7","12","7","6"
"55","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","73","60","7","12","7","7"
"59","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","55","45","11","10","6","7"
"56","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","63","68","12","6","7","7"
"61","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","40","50","10","10","5","5"
"58","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","55","53","11","11","7","6"
"57","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","59","70","12","9","7","7"
"62","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","58","71","11","14","7","6"
"60","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","3.5","700","false","true","5","0.2","99","48","61","11","8","7","6"
"63","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","43","46","14","12","6","6"
"70","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","35","58","1","1","6","5"
"64","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","73","56","10","13","7","7"
"74","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","26","49","0","0","6","3"
"65","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","68","54","0","11","6","7"
"67","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","54","53","12","6","7","6"
"69","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","50","47","9","2","7","6"
"72","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","41","38","7","7","6","5"
"68","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","29","67","8","1","7","7"
"66","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","65","67","10","12","7","7"
"71","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","48","56","7","0","7","5"
"73","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","45","43","10","12","5","5"
"75","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","70","64","3","11","7","7"
"78","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","56","53","6","10","6","7"
"77","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","65","61","8","12","7","7"
"76","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","39","61","7","7","7","6"
"79","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","52","52","10","9","7","6"
"81","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2.5","700","false","true","5","0.2","99","74","69","10","13","7","7"
"80","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1.5","700","false","true","5","0.2","99","56","51","9","9","7","7"
"84","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2.5","700","false","true","5","0.2","99","56","69","13","8","7","6"
"82","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2.5","700","false","true","5","0.2","99","76","66","16","14","7","7"
"83","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2.5","700","false","true","5","0.2","99","58","49","0","15","6","7"
"86","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2.5","700","false","true","5","0.2","99","58","74","11","14","7","7"
