"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"energy"
"09/23/2021 22:32:47:420 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","mortality-decrease-with-buffer","number-of-startind","movement-energy","cropland-movement-cost","woodland-movement-cost","mean-number-of-female-offspring","scenario","mean-adult-mortality-prob","[step]","total-newts","occupied-ponds","pond0","pond1","pond2","pond3","pond4","pond5","pond6"
"1","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","29","4","0","4","14","3","0","8","0"
"12","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","44","4","8","0","3","10","23","0","0"
"7","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","56","5","14","0","12","0","11","9","10"
"6","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","31","5","2","13","0","6","5","0","5"
"4","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","56","5","19","9","0","16","3","9","0"
"2","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","28","5","0","0","9","1","8","7","3"
"10","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","49","4","12","0","19","0","11","0","7"
"11","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","42","4","0","10","12","0","5","15","0"
"8","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","51","6","17","6","0","6","8","8","6"
"5","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","25","3","0","0","0","2","14","0","9"
"3","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","59","5","16","0","0","12","8","21","2"
"9","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","43","5","9","6","0","0","6","14","8"
"22","30","0.45","0.1","50","100","5","1","2.5","corridors","0.18","100","22","3","12","0","7","3","0","0","0"
"24","30","0.45","0.1","50","100","5","1","2.5","corridors","0.18","100","3","1","0","0","0","3","0","0","0"
"21","30","0.45","0.1","50","100","5","1","2.5","corridors","0.18","100","17","2","0","0","5","0","0","12","0"
"23","30","0.45","0.1","50","100","5","1","2.5","corridors","0.18","100","7","1","0","0","7","0","0","0","0"
"17","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","17","2","0","11","0","0","6","0","0"
"16","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","53","4","0","0","13","16","16","8","0"
"15","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","44","4","16","0","0","4","10","0","14"
"14","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","35","4","0","0","0","2","6","10","17"
"18","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","49","5","1","11","14","5","0","18","0"
"29","30","0.45","0.1","50","100","5","1","2.5","corridors","0.18","100","7","1","0","0","0","7","0","0","0"
"19","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","42","4","8","13","14","0","7","0","0"
"25","30","0.45","0.1","50","100","5","1","2.5","corridors","0.18","84","0","0","0","0","0","0","0","0","0"
"20","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","29","4","0","0","4","0","8","1","16"
"13","30","0.45","0.1","50","100","5","1","2.5","buffers","0.18","100","41","5","7","15","5","9","0","0","5"
"27","30","0.45","0.1","50","100","5","1","2.5","corridors","0.18","100","17","2","9","0","0","0","0","0","8"
"26","30","0.45","0.1","50","100","5","1","2.5","corridors","0.18","100","16","3","0","3","0","0","0","7","6"
"28","30","0.45","0.1","50","100","5","1","2.5","corridors","0.18","100","15","2","0","0","0","0","7","8","0"
"32","30","0.45","0.1","50","100","5","1","2.5","corridors","0.18","100","3","1","0","0","0","3","0","0","0"
"34","30","0.45","0.1","50","100","5","1","2.5","corridors","0.18","100","2","1","0","0","0","0","2","0","0"
"31","30","0.45","0.1","50","100","5","1","2.5","corridors","0.18","100","20","2","0","6","0","14","0","0","0"
"37","30","0.45","0.1","50","100","5","1","2.5","corridors","0.18","100","13","3","3","0","0","9","0","0","1"
"30","30","0.45","0.1","50","100","5","1","2.5","corridors","0.18","100","27","3","0","9","0","0","10","0","8"
