"BehaviorSpace results (NetLogo 6.2.1)"
"model/crested_newt.nlogo"
"more_data"
"10/26/2021 15:20:23:215 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","number-of-startind","movement-in-forest","max-timesteps","current-scenario","cropland-movement-cost","angle-for-viewing-ponds-and-woodland","woodland-movement-cost","mortality-decrease-with-buffer","distance-for-viewing-ponds-and-woodland","movement-energy","one-pond-without-starting-newts","both-scenarios","mean-number-of-female-offspring","mean-adult-mortality-prob","[step]","newts-buffer","newts-corridor","newts-corridor-pond1","newts-buffer-pond1","occupied-ponds-corridor","occupied-ponds-buffer"
"4","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","61","29","1","3","5","7"
"1","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","48","30","13","7","3","6"
"7","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","23","40","11","11","5","3"
"3","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","23","39","0","0","5","4"
"19","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","48","26","0","0","4","4"
"2","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","62","23","0","7","4","7"
"13","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","29","40","8","10","6","4"
"10","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","28","37","11","0","5","5"
"14","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","32","44","0","5","6","5"
"9","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","54","41","0","0","5","5"
"17","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","37","35","4","0","5","5"
"6","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","43","42","3","6","6","7"
"5","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","47","49","0","0","6","6"
"12","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","59","31","0","12","5","6"
"18","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","41","33","6","9","5","7"
"11","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","61","44","12","9","5","6"
"8","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","59","49","7","9","5","7"
"20","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","48","57","9","10","6","7"
"15","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","45","39","9","7","5","6"
"16","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","60","48","10","2","6","7"
"21","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","38","42","12","10","5","5"
"29","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","36","22","0","10","5","4"
"23","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","43","30","8","8","3","5"
"24","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","19","57","15","0","7","4"
"30","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","43","13","0","12","2","5"
"26","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","49","56","14","8","7","6"
"22","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","57","57","4","12","7","6"
"38","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","42","39","10","5","5","5"
"33","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","44","19","5","13","3","7"
"32","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","46","40","4","0","7","6"
"25","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","61","15","9","9","3","7"
"36","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","42","15","2","4","5","6"
"35","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","36","57","12","12","7","6"
"31","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","41","28","0","12","5","4"
"39","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","70","28","13","9","3","7"
"27","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","44","53","7","5","5","6"
"34","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","61","45","1","11","7","7"
"40","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","37","55","12","7","7","5"
"37","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","58","48","2","6","7","7"
"28","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1","700","false","true","5","0.2","99","39","47","0","0","6","5"
"46","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","23","56","13","0","6","4"
"42","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","31","47","1","0","7","3"
"41","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","47","50","12","10","6","6"
"49","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","33","71","13","0","7","5"
"50","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","37","54","0","12","6","6"
"47","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","44","49","5","8","6","5"
"45","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","65","33","9","8","4","7"
"52","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","51","40","7","11","5","6"
"43","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","67","59","11","4","7","7"
"44","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","47","51","4","6","6","6"
"51","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","60","63","6","0","7","6"
"48","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","65","60","2","5","7","7"
"53","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","58","65","9","10","7","7"
"57","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","28","59","15","13","7","4"
"59","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","72","22","7","10","3","7"
"54","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","54","39","6","0","7","6"
"56","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","46","61","0","8","6","6"
"55","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","65","49","0","5","6","7"
"60","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","76","55","11","16","6","7"
"58","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","54","52","9","9","7","6"
"61","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","51","49","3","11","7","6"
"68","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","31","15","5","9","2","4"
"63","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","36","68","10","2","7","6"
"62","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","55","56","7","11","7","7"
"66","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","40","53","6","13","7","4"
"67","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","41","34","7","3","5","6"
"64","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","46","50","8","3","7","6"
"65","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","55","66","9","9","7","7"
"69","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","54","52","2","7","6","7"
"72","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","56","57","8","15","7","4"
"75","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","37","65","10","10","6","5"
"74","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","39","43","10","8","5","6"
"71","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","62","45","3","9","7","6"
"70","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","53","74","12","7","7","7"
"77","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","39","45","10","7","5","6"
"73","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.05","1.5","700","false","true","5","0.2","99","63","30","7","9","6","7"
