"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"scenarios"
"09/24/2021 13:20:24:347 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","mortality-decrease-with-buffer","number-of-startind","movement-energy","cropland-movement-cost","woodland-movement-cost","mean-number-of-female-offspring","scenario","mean-adult-mortality-prob","[step]","total-newts","occupied-ponds","pond0","pond1","pond2","pond3","pond4","pond5","pond6"
"1","30","0.45","0","50","50","5","1","2.5","buffers","0.18","100","8","1","0","0","8","0","0","0","0"
"3","30","0.45","0","50","250","5","1","2.5","buffers","0.18","100","22","3","13","0","0","5","4","0","0"
"2","30","0.45","0","50","50","5","1","2.5","corridors","0.18","100","43","3","18","0","0","5","20","0","0"
"5","30","0.45","0","50","500","5","1","2.5","buffers","0.18","100","29","3","0","7","0","0","17","5","0"
"7","30","0.45","0","50","750","5","1","2.5","buffers","0.18","100","22","4","7","9","0","0","0","2","4"
"4","30","0.45","0","50","250","5","1","2.5","corridors","0.18","100","96","7","17","24","16","4","14","19","2"
"9","30","0.45","0","50","1000","5","1","2.5","buffers","0.18","100","35","4","3","4","0","0","0","17","11"
"6","30","0.45","0","50","500","5","1","2.5","corridors","0.18","100","59","5","21","10","8","0","14","6","0"
"11","30","0.45","0.02","50","50","5","1","2.5","buffers","0.18","100","42","3","15","0","0","0","9","18","0"
"8","30","0.45","0","50","750","5","1","2.5","corridors","0.18","100","81","6","19","19","12","0","9","11","11"
"10","30","0.45","0","50","1000","5","1","2.5","corridors","0.18","100","70","5","16","20","14","0","9","11","0"
"12","30","0.45","0.02","50","50","5","1","2.5","corridors","0.18","100","34","4","22","4","0","0","6","2","0"
"13","30","0.45","0.02","50","250","5","1","2.5","buffers","0.18","100","27","2","15","0","0","0","0","0","12"
"15","30","0.45","0.02","50","500","5","1","2.5","buffers","0.18","100","58","5","0","5","0","23","4","7","19"
"17","30","0.45","0.02","50","750","5","1","2.5","buffers","0.18","100","33","5","1","0","0","1","16","11","4"
"14","30","0.45","0.02","50","250","5","1","2.5","corridors","0.18","100","57","4","21","11","13","0","12","0","0"
"19","30","0.45","0.02","50","1000","5","1","2.5","buffers","0.18","100","32","5","6","18","0","1","4","0","3"
"16","30","0.45","0.02","50","500","5","1","2.5","corridors","0.18","100","55","6","11","9","4","0","14","10","7"
"18","30","0.45","0.02","50","750","5","1","2.5","corridors","0.18","100","75","5","13","19","20","0","20","3","0"
"21","30","0.45","0.06","50","50","5","1","2.5","buffers","0.18","100","13","2","8","5","0","0","0","0","0"
"23","30","0.45","0.06","50","250","5","1","2.5","buffers","0.18","100","30","3","0","8","10","0","0","12","0"
"22","30","0.45","0.06","50","50","5","1","2.5","corridors","0.18","100","38","4","16","14","0","0","3","5","0"
"20","30","0.45","0.02","50","1000","5","1","2.5","corridors","0.18","100","79","7","13","20","11","6","18","9","2"
"24","30","0.45","0.06","50","250","5","1","2.5","corridors","0.18","100","53","5","14","16","10","0","8","5","0"
"25","30","0.45","0.06","50","500","5","1","2.5","buffers","0.18","100","42","4","1","14","0","0","0","11","16"
"27","30","0.45","0.06","50","750","5","1","2.5","buffers","0.18","100","39","5","13","5","0","0","6","12","3"
"26","30","0.45","0.06","50","500","5","1","2.5","corridors","0.18","100","69","5","19","14","20","0","12","4","0"
"29","30","0.45","0.06","50","1000","5","1","2.5","buffers","0.18","100","71","7","9","13","5","20","4","10","10"
"28","30","0.45","0.06","50","750","5","1","2.5","corridors","0.18","100","74","6","20","16","11","0","12","12","3"
"31","30","0.45","0.08","50","50","5","1","2.5","buffers","0.18","100","62","6","19","0","2","19","7","11","4"
"32","30","0.45","0.08","50","50","5","1","2.5","corridors","0.18","100","22","1","22","0","0","0","0","0","0"
"30","30","0.45","0.06","50","1000","5","1","2.5","corridors","0.18","100","73","5","20","18","4","0","20","11","0"
"33","30","0.45","0.08","50","250","5","1","2.5","buffers","0.18","100","28","3","0","3","4","0","0","21","0"
"34","30","0.45","0.08","50","250","5","1","2.5","corridors","0.18","100","75","5","11","18","11","0","17","18","0"
"35","30","0.45","0.08","50","500","5","1","2.5","buffers","0.18","100","50","5","0","0","9","19","14","3","5"
"37","30","0.45","0.08","50","750","5","1","2.5","buffers","0.18","100","76","7","13","15","7","14","13","4","10"
"36","30","0.45","0.08","50","500","5","1","2.5","corridors","0.18","100","68","4","17","18","13","0","20","0","0"
"39","30","0.45","0.08","50","1000","5","1","2.5","buffers","0.18","100","51","7","11","6","18","3","7","2","4"
"41","30","0.45","0.1","50","50","5","1","2.5","buffers","0.18","100","33","5","6","0","6","5","8","0","8"
"38","30","0.45","0.08","50","750","5","1","2.5","corridors","0.18","100","91","5","22","20","16","0","16","17","0"
"42","30","0.45","0.1","50","50","5","1","2.5","corridors","0.18","100","32","3","19","8","5","0","0","0","0"
"40","30","0.45","0.08","50","1000","5","1","2.5","corridors","0.18","100","85","7","20","10","12","7","11","14","11"
"43","30","0.45","0.1","50","250","5","1","2.5","buffers","0.18","100","73","6","6","15","18","11","13","0","10"
"44","30","0.45","0.1","50","250","5","1","2.5","corridors","0.18","100","70","5","16","20","14","0","15","5","0"
"45","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","98","6","13","12","21","0","18","10","24"
"46","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","58","7","5","9","8","1","15","17","3"
"47","30","0.45","0.1","50","750","5","1","2.5","buffers","0.18","100","77","7","19","7","18","7","8","8","10"
"48","30","0.45","0.1","50","750","5","1","2.5","corridors","0.18","100","67","5","17","18","19","0","6","7","0"
"49","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","77","6","7","16","4","0","15","20","15"
"50","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","71","5","19","18","13","0","12","9","0"
