"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"scenarios"
"09/23/2021 22:58:44:593 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","mortality-decrease-with-buffer","number-of-startind","movement-energy","cropland-movement-cost","woodland-movement-cost","mean-number-of-female-offspring","scenario","mean-adult-mortality-prob","[step]","total-newts","occupied-ponds","pond0","pond1","pond2","pond3","pond4","pond5","pond6"
"8","30","0.45","0","50","50","5","1","2.5","corridors","0.18","100","19","2","0","0","0","0","0","6","13"
"9","30","0.45","0","50","50","5","1","2.5","corridors","0.18","100","12","2","0","7","0","0","5","0","0"
"12","30","0.45","0","50","100","5","1","2.5","buffers","0.18","100","30","3","21","5","0","0","0","4","0"
"1","30","0.45","0","50","50","5","1","2.5","buffers","0.18","100","2","1","0","0","2","0","0","0","0"
"5","30","0.45","0","50","50","5","1","2.5","buffers","0.18","100","8","2","4","0","0","0","4","0","0"
"4","30","0.45","0","50","50","5","1","2.5","buffers","0.18","100","18","2","8","0","0","10","0","0","0"
"7","30","0.45","0","50","50","5","1","2.5","corridors","0.18","100","14","2","0","9","5","0","0","0","0"
"2","30","0.45","0","50","50","5","1","2.5","buffers","0.18","100","34","4","11","0","11","0","0","9","3"
"6","30","0.45","0","50","50","5","1","2.5","corridors","0.18","100","17","2","5","12","0","0","0","0","0"
"11","30","0.45","0","50","100","5","1","2.5","buffers","0.18","100","9","2","0","0","6","3","0","0","0"
"10","30","0.45","0","50","50","5","1","2.5","corridors","0.18","100","24","3","8","0","10","0","6","0","0"
"3","30","0.45","0","50","50","5","1","2.5","buffers","0.18","100","19","2","12","0","0","0","0","0","7"
"14","30","0.45","0","50","100","5","1","2.5","buffers","0.18","100","10","2","3","0","0","0","0","7","0"
"17","30","0.45","0","50","100","5","1","2.5","corridors","0.18","100","33","3","0","0","16","4","0","0","13"
"24","30","0.45","0","50","150","5","1","2.5","buffers","0.18","100","7","1","0","7","0","0","0","0","0"
"18","30","0.45","0","50","100","5","1","2.5","corridors","0.18","100","21","2","0","0","3","0","0","0","18"
"20","30","0.45","0","50","100","5","1","2.5","corridors","0.18","100","33","3","0","22","0","0","1","10","0"
"13","30","0.45","0","50","100","5","1","2.5","buffers","0.18","100","2","1","0","0","0","2","0","0","0"
"16","30","0.45","0","50","100","5","1","2.5","corridors","0.18","100","25","2","0","15","0","10","0","0","0"
