"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"experiment"
"09/23/2021 21:30:09:800 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","mortality-decrease-with-buffer","number-of-startind","movement-energy","cropland-movement-cost","woodland-movement-cost","mean-number-of-female-offspring","scenario","mean-adult-mortality-prob","[step]","total-newts","occupied-ponds","pond0","pond1","pond2","pond3","pond4","pond5","pond6"
"4","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","72","6","0","20","9","9","16","12","6"
"8","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","36","3","0","13","0","0","12","11","0"
"3","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","61","5","10","10","0","0","11","16","14"
"5","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","60","6","11","13","16","7","2","11","0"
"7","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","49","6","11","6","0","18","4","4","6"
"2","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","74","7","18","10","2","1","16","10","17"
"9","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","46","5","18","10","0","4","9","5","0"
"11","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","55","5","0","16","0","15","6","5","13"
"10","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","32","5","10","3","0","0","11","7","1"
"6","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","65","7","6","9","12","6","11","14","7"
"12","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","83","7","13","20","7","11","5","14","13"
"1","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","91","7","16","10","9","14","13","21","8"
"16","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","81","5","0","9","0","13","17","15","27"
"21","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","50","5","0","18","11","0","6","7","8"
"22","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","45","6","2","9","8","14","6","6","0"
"13","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","67","6","13","15","0","16","11","3","9"
"14","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","102","7","18","23","21","6","15","11","8"
"23","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","32","4","0","0","11","7","3","0","11"
"17","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","41","6","11","3","5","0","2","10","10"
"15","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","64","6","7","7","0","12","5","18","15"
"24","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","52","5","0","1","10","10","0","14","17"
"19","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","65","5","17","21","0","0","11","14","2"
"20","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","51","5","13","0","9","0","9","11","9"
"26","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","35","5","15","7","3","0","6","4","0"
"18","30","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","75","7","10","11","9","11","9","9","16"
"25","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","30","5","0","5","3","9","0","9","4"
"29","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","30","4","0","11","4","12","0","3","0"
"27","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","64","5","0","17","6","0","13","12","16"
"31","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","43","4","9","15","5","0","14","0","0"
"32","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","44","5","0","11","9","0","11","7","6"
"28","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","30","5","0","9","1","10","8","2","0"
"33","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","17","3","4","0","4","0","0","9","0"
"30","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","26","5","0","8","6","0","4","4","4"
"34","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","25","5","0","4","13","2","0","3","3"
"35","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","60","5","7","18","6","0","0","17","12"
"36","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","38","5","0","3","7","6","9","13","0"
"38","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","48","6","0","6","8","10","11","6","7"
"39","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","40","5","0","15","6","0","11","1","7"
"37","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","33","5","0","9","2","0","6","3","13"
"40","30","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","43","4","0","19","4","0","0","16","4"
"43","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","177","7","19","14","21","27","24","40","32"
"42","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","142","7","18","34","24","7","21","17","21"
"46","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","168","7","11","33","16","27","38","20","23"
"41","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","189","7","33","23","26","14","36","29","28"
"44","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","150","7","12","29","21","12","22","29","25"
"49","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","153","7","22","29","26","20","16","24","16"
"45","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","192","7","33","26","27","18","21","38","29"
"47","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","166","7","36","22","20","26","29","21","12"
"50","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","147","7","10","17","23","17","26","29","25"
"51","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","146","7","26","20","34","13","17","19","17"
"48","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","198","7","30","26","17","40","41","28","16"
"52","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","178","7","19","28","23","27","26","20","35"
"54","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","161","7","28","23","21","25","21","21","22"
"61","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","88","7","24","27","3","2","15","12","5"
"62","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","125","6","7","29","29","23","18","19","0"
"53","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","176","7","18","12","25","24","34","31","32"
"64","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","81","7","12","17","13","22","2","10","5"
"63","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","130","6","0","33","18","22","19","31","7"
"56","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","130","7","15","23","8","11","26","26","21"
"55","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","178","7","16","22","28","32","25","33","22"
"58","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","184","7","15","20","29","21","35","30","34"
"59","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","200","7","25","35","32","28","32","31","17"
"60","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","175","7","24","29","23","24","33","20","22"
"65","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","100","6","0","20","19","6","13","16","26"
"66","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","102","7","18","13","20","14","22","14","1"
"57","60","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","165","7","24","20","26","25","27","25","18"
"67","60","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","137","7","17","32","34","10","9","22","13"
