BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,
crested_newt.nlogo,,,,,,,,,,,,
experiment,,,,,,,,,,,,
09/23/2021 21:47:03:176 +0200,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
0,399,0,399,,,,,,,,,
[run number],capacity,mean-juvenile-mortality-prob,mortality-decrease-with-buffer,number-of-startind,movement-energy,cropland-movement-cost,woodland-movement-cost,mean-number-of-female-offspring,scenario,mean-adult-mortality-prob,[step],count turtles
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,0,15
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,0,15
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,1,26
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,0,15
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,0,15
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,0,15
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,1,35
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,1,21
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,1,30
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,0,15
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,1,25
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,0,15
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,0,15
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,1,24
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,1,38
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,1,30
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,2,21
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,2,36
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,2,29
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,3,20
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,2,39
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,4,17
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,2,27
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,2,42
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,2,29
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,5,14
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,6,20
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,3,30
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,3,26
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,3,31
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,4,29
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,2,32
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,3,28
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,5,30
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,4,39
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,3,46
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,7,15
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,8,18
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,4,32
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,9,27
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,5,39
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,10,24
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,11,35
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,3,44
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,5,24
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,6,37
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,6,33
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,3,30
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,4,24
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,5,30
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,6,48
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,7,32
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,6,36
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,4,40
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,8,34
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,4,27
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,12,34
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,4,46
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,7,51
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,7,39
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,7,41
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,5,41
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,5,35
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,5,47
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,9,34
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,8,44
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,6,43
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,10,34
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,13,23
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,8,43
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,14,29
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,8,34
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,6,25
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,7,34
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,15,30
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,7,44
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,6,41
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,9,57
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,8,24
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,11,30
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,9,32
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,16,26
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,9,33
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,8,52
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,9,21
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,12,37
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,17,34
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,10,27
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,10,39
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,10,30
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,7,36
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,11,27
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,11,29
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,10,59
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,13,35
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,12,17
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,13,23
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,12,30
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,14,22
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,11,33
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,9,51
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,15,29
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,18,31
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,8,34
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,14,37
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,13,21
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,12,42
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,9,30
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,16,30
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,15,45
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,14,24
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,11,53
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,10,47
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,15,27
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,17,37
