,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor,mean_newts_buffer,mean_ponds_buffer,mean_newts_corridor,mean_ponds_corridor
0,0.0,5.0,0.0,1.0,2.909090909090909,0.7272727272727273,7.0,1.5454545454545454
1,38.0,10.0,6.0,2.0,48.63636363636363,6.0,12.909090909090908,2.272727272727273
2,0.0,0.0,0.0,0.0,3.909090909090909,1.2727272727272727,3.6363636363636362,0.6363636363636364
3,18.0,17.0,3.0,4.0,18.818181818181817,3.8181818181818183,16.272727272727273,3.5454545454545454
4,22.0,0.0,3.0,0.0,21.727272727272727,3.909090909090909,3.6363636363636362,0.6363636363636364
5,8.0,0.0,2.0,0.0,7.636363636363637,1.8181818181818181,5.090909090909091,1.0909090909090908
6,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,0.6363636363636364
7,10.0,1.0,2.0,1.0,9.090909090909092,2.090909090909091,8.454545454545455,1.6363636363636365
8,7.0,5.0,2.0,1.0,14.090909090909092,2.909090909090909,7.818181818181818,1.6363636363636365
9,66.0,68.0,7.0,7.0,62.54545454545455,6.636363636363637,66.27272727272727,7.0
10,44.0,0.0,4.0,0.0,33.45454545454545,4.454545454545454,3.6363636363636362,0.6363636363636364
11,73.0,44.0,7.0,6.0,66.72727272727273,7.0,49.45454545454545,6.181818181818182
12,50.0,20.0,5.0,3.0,44.81818181818182,5.0,22.363636363636363,3.3636363636363638
13,83.0,32.0,7.0,6.0,68.81818181818181,7.0,41.18181818181818,6.090909090909091
14,69.0,40.0,7.0,4.0,70.45454545454545,7.0,35.45454545454545,4.909090909090909
15,58.0,17.0,7.0,3.0,72.18181818181819,7.0,22.727272727272727,4.090909090909091
16,62.0,0.0,7.0,0.0,70.18181818181819,7.0,3.6363636363636362,0.6363636363636364
17,40.0,6.0,5.0,1.0,57.27272727272727,5.818181818181818,15.454545454545455,2.8181818181818183
18,126.0,72.0,7.0,7.0,114.0909090909091,7.0,83.27272727272727,7.0
19,11.0,0.0,2.0,0.0,19.636363636363637,3.4545454545454546,3.6363636363636362,0.6363636363636364
20,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,0.6363636363636364
21,32.0,2.0,5.0,1.0,33.72727272727273,5.545454545454546,6.7272727272727275,1.5454545454545454
22,35.0,0.0,5.0,0.0,50.45454545454545,5.454545454545454,3.6363636363636362,0.6363636363636364
23,33.0,7.0,5.0,1.0,30.0,4.818181818181818,8.181818181818182,1.5454545454545454
24,106.0,74.0,7.0,7.0,98.45454545454545,7.0,85.0909090909091,7.0
