,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor
0,98.0,81.0,7.0,7.0
1,82.0,86.0,7.0,7.0
2,70.0,46.0,6.0,7.0
3,90.0,74.0,7.0,7.0
4,82.0,85.0,7.0,7.0
5,84.0,55.0,7.0,7.0
6,100.0,88.0,7.0,7.0
7,77.0,71.0,7.0,7.0
8,62.0,62.0,6.0,6.0
9,61.0,82.0,6.0,7.0
10,86.0,62.0,7.0,6.0
11,88.0,52.0,7.0,6.0
12,34.0,70.0,4.0,7.0
13,55.0,52.0,6.0,5.0
14,57.0,80.0,7.0,6.0
15,59.0,67.0,6.0,6.0
16,31.0,48.0,5.0,6.0
17,49.0,80.0,6.0,7.0
18,54.0,55.0,5.0,7.0
19,96.0,73.0,7.0,7.0
20,68.0,75.0,7.0,7.0
21,60.0,56.0,6.0,7.0
22,54.0,73.0,6.0,7.0
23,87.0,79.0,7.0,7.0
24,49.0,15.0,5.0,3.0
25,52.0,15.0,6.0,3.0
26,122.0,83.0,7.0,7.0
27,62.0,20.0,7.0,6.0
28,43.0,0.0,7.0,0.0
29,69.0,34.0,6.0,5.0
30,65.0,9.0,7.0,1.0
31,71.0,30.0,7.0,6.0
32,10.0,49.0,2.0,7.0
33,40.0,3.0,4.0,1.0
34,32.0,17.0,5.0,2.0
35,51.0,38.0,7.0,6.0
36,11.0,3.0,1.0,1.0
37,0.0,9.0,0.0,2.0
38,0.0,3.0,0.0,1.0
39,8.0,10.0,2.0,1.0
40,0.0,0.0,0.0,0.0
41,8.0,0.0,1.0,0.0
42,0.0,12.0,0.0,1.0
43,24.0,0.0,2.0,0.0
44,14.0,0.0,1.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,11.0,0.0,1.0
47,2.0,0.0,1.0,0.0
48,100.0,56.0,7.0,4.0
49,100.0,57.0,7.0,6.0
50,31.0,11.0,6.0,2.0
51,118.0,80.0,7.0,5.0
52,111.0,103.0,7.0,6.0
53,103.0,40.0,6.0,3.0
54,107.0,95.0,7.0,7.0
55,106.0,96.0,7.0,7.0
56,100.0,48.0,6.0,6.0
57,132.0,83.0,7.0,6.0
58,110.0,91.0,7.0,7.0
59,88.0,84.0,7.0,7.0
60,50.0,61.0,6.0,7.0
61,150.0,121.0,7.0,7.0
62,63.0,66.0,7.0,7.0
63,37.0,63.0,6.0,7.0
64,45.0,53.0,7.0,7.0
65,63.0,69.0,7.0,7.0
66,66.0,60.0,6.0,6.0
67,62.0,64.0,7.0,6.0
68,47.0,37.0,7.0,5.0
69,55.0,64.0,6.0,7.0
70,59.0,59.0,6.0,7.0
71,51.0,60.0,6.0,7.0
72,4.0,0.0,1.0,0.0
73,14.0,11.0,3.0,2.0
74,33.0,31.0,3.0,4.0
75,10.0,7.0,2.0,1.0
76,27.0,7.0,3.0,3.0
77,16.0,22.0,3.0,6.0
78,10.0,9.0,1.0,3.0
79,18.0,3.0,2.0,2.0
80,49.0,6.0,7.0,2.0
81,5.0,27.0,1.0,6.0
82,13.0,0.0,2.0,0.0
83,7.0,15.0,3.0,2.0
84,58.0,0.0,6.0,0.0
85,15.0,7.0,2.0,2.0
86,34.0,24.0,4.0,3.0
87,50.0,0.0,6.0,0.0
88,17.0,14.0,4.0,2.0
89,55.0,0.0,6.0,0.0
90,22.0,6.0,2.0,1.0
91,0.0,0.0,0.0,0.0
92,45.0,14.0,5.0,2.0
93,59.0,13.0,7.0,3.0
94,35.0,0.0,5.0,0.0
95,48.0,0.0,5.0,0.0
96,158.0,124.0,7.0,7.0
97,138.0,140.0,7.0,7.0
98,166.0,157.0,7.0,7.0
99,141.0,107.0,7.0,7.0
100,124.0,135.0,7.0,7.0
101,140.0,129.0,7.0,7.0
102,148.0,128.0,7.0,7.0
103,140.0,135.0,7.0,7.0
104,138.0,121.0,7.0,7.0
105,134.0,139.0,7.0,7.0
106,161.0,126.0,7.0,7.0
107,138.0,123.0,7.0,7.0
108,149.0,128.0,7.0,7.0
109,133.0,142.0,7.0,7.0
110,152.0,157.0,7.0,7.0
111,157.0,144.0,7.0,7.0
112,143.0,148.0,7.0,7.0
113,131.0,151.0,7.0,7.0
114,129.0,134.0,7.0,7.0
115,167.0,139.0,7.0,7.0
116,130.0,147.0,7.0,7.0
117,127.0,132.0,7.0,7.0
118,159.0,144.0,7.0,7.0
119,145.0,126.0,7.0,7.0
