,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor
0,61.0,69.0,5.0,7.0
1,58.0,92.0,5.0,7.0
2,40.0,63.0,5.0,6.0
3,49.0,49.0,6.0,5.0
4,42.0,94.0,3.0,7.0
5,40.0,86.0,5.0,7.0
6,77.0,80.0,7.0,7.0
7,62.0,71.0,6.0,7.0
8,53.0,69.0,6.0,7.0
9,65.0,71.0,6.0,7.0
10,62.0,39.0,7.0,5.0
11,75.0,97.0,6.0,7.0
12,28.0,102.0,4.0,7.0
13,41.0,60.0,4.0,7.0
14,39.0,83.0,6.0,7.0
15,44.0,70.0,5.0,7.0
16,42.0,81.0,6.0,7.0
17,44.0,93.0,6.0,7.0
18,43.0,87.0,7.0,6.0
19,57.0,66.0,6.0,5.0
20,62.0,89.0,7.0,7.0
21,59.0,88.0,6.0,7.0
22,43.0,79.0,5.0,7.0
23,41.0,83.0,4.0,6.0
24,78.0,37.0,7.0,5.0
25,58.0,19.0,6.0,4.0
26,65.0,44.0,7.0,7.0
27,46.0,49.0,5.0,7.0
28,24.0,47.0,4.0,6.0
29,48.0,12.0,5.0,6.0
30,61.0,29.0,6.0,4.0
31,27.0,16.0,5.0,4.0
32,15.0,42.0,4.0,6.0
33,41.0,7.0,5.0,2.0
34,74.0,11.0,7.0,2.0
35,63.0,44.0,7.0,5.0
36,17.0,4.0,2.0,1.0
37,34.0,11.0,6.0,2.0
38,21.0,0.0,4.0,0.0
39,20.0,5.0,5.0,2.0
40,12.0,10.0,2.0,2.0
41,13.0,0.0,4.0,0.0
42,20.0,5.0,4.0,1.0
43,27.0,9.0,4.0,2.0
44,52.0,40.0,5.0,7.0
45,6.0,0.0,1.0,0.0
46,36.0,4.0,5.0,1.0
47,19.0,21.0,4.0,3.0
48,93.0,70.0,6.0,5.0
49,117.0,105.0,7.0,7.0
50,126.0,112.0,7.0,7.0
51,123.0,83.0,7.0,7.0
52,142.0,143.0,7.0,7.0
53,86.0,105.0,7.0,7.0
54,95.0,99.0,7.0,7.0
55,110.0,107.0,6.0,7.0
56,124.0,111.0,7.0,7.0
57,113.0,100.0,7.0,6.0
58,110.0,112.0,7.0,7.0
59,74.0,119.0,7.0,7.0
60,139.0,157.0,6.0,7.0
61,155.0,164.0,7.0,7.0
62,157.0,141.0,7.0,7.0
63,158.0,137.0,7.0,7.0
64,167.0,140.0,7.0,7.0
65,166.0,143.0,7.0,7.0
66,183.0,138.0,7.0,6.0
67,148.0,155.0,7.0,7.0
68,151.0,150.0,7.0,7.0
69,157.0,134.0,7.0,7.0
70,166.0,150.0,7.0,7.0
71,147.0,155.0,7.0,7.0
72,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,9.0,0.0,2.0,0.0
76,0.0,0.0,0.0,0.0
77,1.0,5.0,1.0,1.0
78,20.0,0.0,2.0,0.0
79,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0
84,28.0,97.0,2.0,7.0
85,10.0,2.0,2.0,1.0
86,11.0,0.0,1.0,0.0
87,65.0,76.0,6.0,7.0
88,52.0,68.0,4.0,6.0
89,47.0,77.0,4.0,7.0
90,54.0,80.0,4.0,7.0
91,28.0,70.0,2.0,7.0
92,17.0,27.0,2.0,2.0
93,87.0,112.0,7.0,7.0
94,104.0,100.0,6.0,7.0
95,82.0,45.0,6.0,7.0
96,73.0,53.0,7.0,5.0
97,53.0,74.0,5.0,7.0
98,44.0,59.0,5.0,7.0
99,79.0,105.0,6.0,7.0
100,122.0,114.0,7.0,7.0
101,58.0,65.0,6.0,7.0
102,54.0,70.0,6.0,7.0
103,102.0,82.0,7.0,7.0
104,71.0,69.0,7.0,7.0
105,106.0,18.0,7.0,2.0
106,114.0,99.0,7.0,7.0
107,77.0,51.0,6.0,7.0
108,76.0,90.0,7.0,7.0
109,135.0,132.0,7.0,7.0
110,93.0,94.0,7.0,7.0
111,91.0,54.0,7.0,7.0
112,97.0,78.0,7.0,7.0
113,90.0,102.0,7.0,7.0
114,100.0,64.0,7.0,7.0
115,95.0,80.0,7.0,7.0
116,98.0,86.0,7.0,7.0
117,90.0,77.0,7.0,6.0
118,111.0,88.0,7.0,7.0
119,107.0,86.0,7.0,7.0
