,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor
0,28.0,0.0,3.0,0.0
1,7.0,5.0,1.0,2.0
2,18.0,5.0,4.0,1.0
3,39.0,59.0,3.0,7.0
4,19.0,2.0,2.0,1.0
5,42.0,3.0,5.0,1.0
6,30.0,0.0,4.0,0.0
7,7.0,0.0,2.0,0.0
8,27.0,0.0,3.0,0.0
9,38.0,16.0,4.0,2.0
10,32.0,17.0,4.0,4.0
11,11.0,13.0,2.0,2.0
12,45.0,38.0,6.0,5.0
13,94.0,59.0,7.0,7.0
14,33.0,0.0,5.0,0.0
15,54.0,55.0,7.0,7.0
16,69.0,36.0,7.0,7.0
17,29.0,57.0,6.0,5.0
18,39.0,59.0,6.0,7.0
19,58.0,62.0,7.0,7.0
20,33.0,66.0,5.0,7.0
21,40.0,47.0,6.0,6.0
22,66.0,53.0,7.0,6.0
23,47.0,59.0,6.0,7.0
24,171.0,150.0,7.0,7.0
25,179.0,143.0,7.0,7.0
26,127.0,109.0,7.0,7.0
27,135.0,13.0,7.0,2.0
28,169.0,171.0,7.0,7.0
29,170.0,165.0,7.0,7.0
30,159.0,157.0,7.0,7.0
31,149.0,149.0,7.0,7.0
32,167.0,149.0,7.0,7.0
33,184.0,129.0,7.0,7.0
34,194.0,160.0,7.0,7.0
35,139.0,127.0,7.0,7.0
36,86.0,57.0,7.0,6.0
37,123.0,61.0,7.0,6.0
38,129.0,141.0,7.0,7.0
39,17.0,0.0,2.0,0.0
40,103.0,66.0,7.0,7.0
41,90.0,30.0,6.0,6.0
42,92.0,62.0,7.0,7.0
43,87.0,54.0,7.0,7.0
44,91.0,43.0,7.0,7.0
45,92.0,82.0,7.0,6.0
46,113.0,36.0,7.0,5.0
47,102.0,66.0,7.0,7.0
48,21.0,0.0,4.0,0.0
49,39.0,0.0,6.0,0.0
50,46.0,25.0,6.0,4.0
51,94.0,55.0,7.0,7.0
52,26.0,0.0,5.0,0.0
53,29.0,11.0,6.0,3.0
54,27.0,0.0,5.0,0.0
55,16.0,8.0,3.0,2.0
56,37.0,10.0,7.0,2.0
57,18.0,0.0,3.0,0.0
58,32.0,0.0,5.0,0.0
59,27.0,6.0,5.0,1.0
60,91.0,78.0,7.0,7.0
61,74.0,65.0,7.0,7.0
62,34.0,0.0,6.0,0.0
63,90.0,74.0,7.0,7.0
64,109.0,87.0,7.0,7.0
65,100.0,93.0,7.0,7.0
66,112.0,59.0,7.0,7.0
67,114.0,103.0,7.0,7.0
68,105.0,94.0,7.0,7.0
69,108.0,89.0,7.0,7.0
70,110.0,85.0,7.0,7.0
71,82.0,88.0,7.0,7.0
72,53.0,30.0,6.0,3.0
73,43.0,37.0,4.0,5.0
74,75.0,47.0,6.0,5.0
75,34.0,5.0,3.0,1.0
76,19.0,28.0,3.0,3.0
77,12.0,20.0,2.0,3.0
78,20.0,42.0,3.0,4.0
79,57.0,49.0,5.0,6.0
80,63.0,19.0,6.0,2.0
81,53.0,83.0,5.0,7.0
82,21.0,50.0,3.0,5.0
83,53.0,70.0,5.0,5.0
84,67.0,76.0,6.0,7.0
85,48.0,99.0,5.0,7.0
86,104.0,78.0,7.0,7.0
87,104.0,89.0,6.0,7.0
88,76.0,109.0,6.0,7.0
89,89.0,112.0,6.0,7.0
90,100.0,88.0,7.0,6.0
91,117.0,80.0,7.0,7.0
92,56.0,17.0,3.0,4.0
93,105.0,107.0,7.0,7.0
94,40.0,25.0,5.0,4.0
95,41.0,76.0,4.0,5.0
96,45.0,56.0,7.0,7.0
97,46.0,49.0,6.0,7.0
98,75.0,90.0,7.0,7.0
99,13.0,0.0,2.0,0.0
100,39.0,55.0,6.0,7.0
101,45.0,55.0,7.0,7.0
102,46.0,44.0,7.0,6.0
103,56.0,46.0,7.0,7.0
