,number-of-startind,capacity,mean-juvenile-mortality-prob,mean-adult-mortality-prob,cropland-movement-cost,woodland-movement-cost,angle-for-viewing-ponds-and-woodland,mortality-decrease-with-buffer,distance-for-viewing-ponds-and-woodland,movement-energy,mean-number-of-female-offspring
0,5.439453125,24.94140625,0.6033203125,0.158984375,5.55859375,0.6611328125,110.17578125,0.07791015625,1.2177734375,526.5625,4.91015625
1,79.853515625,24.94140625,0.6033203125,0.158984375,5.55859375,0.6611328125,110.17578125,0.07791015625,1.2177734375,526.5625,4.91015625
2,5.439453125,17.08984375,0.6033203125,0.158984375,5.55859375,0.6611328125,110.17578125,0.07791015625,1.2177734375,526.5625,4.91015625
3,5.439453125,24.94140625,0.4966796875,0.158984375,5.55859375,0.6611328125,110.17578125,0.07791015625,1.2177734375,526.5625,4.91015625
4,5.439453125,24.94140625,0.6033203125,0.202734375,5.55859375,0.6611328125,110.17578125,0.07791015625,1.2177734375,526.5625,4.91015625
5,5.439453125,24.94140625,0.6033203125,0.158984375,4.25390625,0.6611328125,110.17578125,0.07791015625,1.2177734375,526.5625,4.91015625
6,5.439453125,24.94140625,0.6033203125,0.158984375,5.55859375,1.8623046875,110.17578125,0.07791015625,1.2177734375,526.5625,4.91015625
7,5.439453125,24.94140625,0.6033203125,0.158984375,5.55859375,0.6611328125,89.12109375,0.07791015625,1.2177734375,526.5625,4.91015625
8,5.439453125,24.94140625,0.6033203125,0.158984375,5.55859375,0.6611328125,110.17578125,0.07865234374999999,1.2177734375,526.5625,4.91015625
9,5.439453125,24.94140625,0.6033203125,0.158984375,5.55859375,0.6611328125,110.17578125,0.07791015625,1.4423828125,526.5625,4.91015625
10,5.439453125,24.94140625,0.6033203125,0.158984375,5.55859375,0.6611328125,110.17578125,0.07791015625,1.2177734375,976.5625,4.91015625
11,5.439453125,24.94140625,0.6033203125,0.158984375,5.55859375,0.6611328125,110.17578125,0.07791015625,1.2177734375,526.5625,5.44921875
12,5.439453125,17.08984375,0.4966796875,0.202734375,4.25390625,1.8623046875,89.12109375,0.07865234374999999,1.4423828125,976.5625,5.44921875
13,79.853515625,24.94140625,0.4966796875,0.202734375,4.25390625,1.8623046875,89.12109375,0.07865234374999999,1.4423828125,976.5625,5.44921875
14,79.853515625,17.08984375,0.6033203125,0.202734375,4.25390625,1.8623046875,89.12109375,0.07865234374999999,1.4423828125,976.5625,5.44921875
15,79.853515625,17.08984375,0.4966796875,0.158984375,4.25390625,1.8623046875,89.12109375,0.07865234374999999,1.4423828125,976.5625,5.44921875
16,79.853515625,17.08984375,0.4966796875,0.202734375,5.55859375,1.8623046875,89.12109375,0.07865234374999999,1.4423828125,976.5625,5.44921875
17,79.853515625,17.08984375,0.4966796875,0.202734375,4.25390625,0.6611328125,89.12109375,0.07865234374999999,1.4423828125,976.5625,5.44921875
18,79.853515625,17.08984375,0.4966796875,0.202734375,4.25390625,1.8623046875,110.17578125,0.07865234374999999,1.4423828125,976.5625,5.44921875
19,79.853515625,17.08984375,0.4966796875,0.202734375,4.25390625,1.8623046875,89.12109375,0.07791015625,1.4423828125,976.5625,5.44921875
20,79.853515625,17.08984375,0.4966796875,0.202734375,4.25390625,1.8623046875,89.12109375,0.07865234374999999,1.2177734375,976.5625,5.44921875
21,79.853515625,17.08984375,0.4966796875,0.202734375,4.25390625,1.8623046875,89.12109375,0.07865234374999999,1.4423828125,526.5625,5.44921875
22,79.853515625,17.08984375,0.4966796875,0.202734375,4.25390625,1.8623046875,89.12109375,0.07865234374999999,1.4423828125,976.5625,4.91015625
23,79.853515625,17.08984375,0.4966796875,0.202734375,4.25390625,1.8623046875,89.12109375,0.07865234374999999,1.4423828125,976.5625,5.44921875
24,42.939453125,39.94140625,0.4533203125,0.258984375,4.55859375,1.4111328125,165.17578125,0.17291015625,2.4677734375,926.5625,5.91015625
25,42.353515625,39.94140625,0.4533203125,0.258984375,4.55859375,1.4111328125,165.17578125,0.17291015625,2.4677734375,926.5625,5.91015625
26,42.939453125,32.08984375,0.4533203125,0.258984375,4.55859375,1.4111328125,165.17578125,0.17291015625,2.4677734375,926.5625,5.91015625
27,42.939453125,39.94140625,0.6466796874999999,0.258984375,4.55859375,1.4111328125,165.17578125,0.17291015625,2.4677734375,926.5625,5.91015625
28,42.939453125,39.94140625,0.4533203125,0.102734375,4.55859375,1.4111328125,165.17578125,0.17291015625,2.4677734375,926.5625,5.91015625
29,42.939453125,39.94140625,0.4533203125,0.258984375,5.25390625,1.4111328125,165.17578125,0.17291015625,2.4677734375,926.5625,5.91015625
30,42.939453125,39.94140625,0.4533203125,0.258984375,4.55859375,1.1123046875,165.17578125,0.17291015625,2.4677734375,926.5625,5.91015625
31,42.939453125,39.94140625,0.4533203125,0.258984375,4.55859375,1.4111328125,144.12109375,0.17291015625,2.4677734375,926.5625,5.91015625
32,42.939453125,39.94140625,0.4533203125,0.258984375,4.55859375,1.4111328125,165.17578125,0.17365234375000002,2.4677734375,926.5625,5.91015625
33,42.939453125,39.94140625,0.4533203125,0.258984375,4.55859375,1.4111328125,165.17578125,0.17291015625,2.6923828125,926.5625,5.91015625
34,42.939453125,39.94140625,0.4533203125,0.258984375,4.55859375,1.4111328125,165.17578125,0.17291015625,2.4677734375,576.5625,5.91015625
35,42.939453125,39.94140625,0.4533203125,0.258984375,4.55859375,1.4111328125,165.17578125,0.17291015625,2.4677734375,926.5625,4.44921875
36,42.939453125,32.08984375,0.6466796874999999,0.102734375,5.25390625,1.1123046875,144.12109375,0.17365234375000002,2.6923828125,576.5625,4.44921875
37,42.353515625,39.94140625,0.6466796874999999,0.102734375,5.25390625,1.1123046875,144.12109375,0.17365234375000002,2.6923828125,576.5625,4.44921875
38,42.353515625,32.08984375,0.4533203125,0.102734375,5.25390625,1.1123046875,144.12109375,0.17365234375000002,2.6923828125,576.5625,4.44921875
39,42.353515625,32.08984375,0.6466796874999999,0.258984375,5.25390625,1.1123046875,144.12109375,0.17365234375000002,2.6923828125,576.5625,4.44921875
40,42.353515625,32.08984375,0.6466796874999999,0.102734375,4.55859375,1.1123046875,144.12109375,0.17365234375000002,2.6923828125,576.5625,4.44921875
41,42.353515625,32.08984375,0.6466796874999999,0.102734375,5.25390625,1.4111328125,144.12109375,0.17365234375000002,2.6923828125,576.5625,4.44921875
42,42.353515625,32.08984375,0.6466796874999999,0.102734375,5.25390625,1.1123046875,165.17578125,0.17365234375000002,2.6923828125,576.5625,4.44921875
43,42.353515625,32.08984375,0.6466796874999999,0.102734375,5.25390625,1.1123046875,144.12109375,0.17291015625,2.6923828125,576.5625,4.44921875
44,42.353515625,32.08984375,0.6466796874999999,0.102734375,5.25390625,1.1123046875,144.12109375,0.17365234375000002,2.4677734375,576.5625,4.44921875
45,42.353515625,32.08984375,0.6466796874999999,0.102734375,5.25390625,1.1123046875,144.12109375,0.17365234375000002,2.6923828125,926.5625,4.44921875
46,42.353515625,32.08984375,0.6466796874999999,0.102734375,5.25390625,1.1123046875,144.12109375,0.17365234375000002,2.6923828125,576.5625,5.91015625
47,42.353515625,32.08984375,0.6466796874999999,0.102734375,5.25390625,1.1123046875,144.12109375,0.17365234375000002,2.6923828125,576.5625,4.44921875
48,61.689453125,17.44140625,0.6783203124999999,0.10898437500000001,4.05859375,1.7861328125,82.67578125,0.12541015625000002,1.8427734375,726.5625,5.41015625
49,23.603515625,17.44140625,0.6783203124999999,0.10898437500000001,4.05859375,1.7861328125,82.67578125,0.12541015625000002,1.8427734375,726.5625,5.41015625
50,61.689453125,24.58984375,0.6783203124999999,0.10898437500000001,4.05859375,1.7861328125,82.67578125,0.12541015625000002,1.8427734375,726.5625,5.41015625
51,61.689453125,17.44140625,0.4216796875,0.10898437500000001,4.05859375,1.7861328125,82.67578125,0.12541015625000002,1.8427734375,726.5625,5.41015625
52,61.689453125,17.44140625,0.6783203124999999,0.152734375,4.05859375,1.7861328125,82.67578125,0.12541015625000002,1.8427734375,726.5625,5.41015625
53,61.689453125,17.44140625,0.6783203124999999,0.10898437500000001,4.75390625,1.7861328125,82.67578125,0.12541015625000002,1.8427734375,726.5625,5.41015625
54,61.689453125,17.44140625,0.6783203124999999,0.10898437500000001,4.05859375,0.7373046875,82.67578125,0.12541015625000002,1.8427734375,726.5625,5.41015625
55,61.689453125,17.44140625,0.6783203124999999,0.10898437500000001,4.05859375,1.7861328125,116.62109375,0.12541015625000002,1.8427734375,726.5625,5.41015625
56,61.689453125,17.44140625,0.6783203124999999,0.10898437500000001,4.05859375,1.7861328125,82.67578125,0.12615234375,1.8427734375,726.5625,5.41015625
57,61.689453125,17.44140625,0.6783203124999999,0.10898437500000001,4.05859375,1.7861328125,82.67578125,0.12541015625000002,0.8173828125,726.5625,5.41015625
58,61.689453125,17.44140625,0.6783203124999999,0.10898437500000001,4.05859375,1.7861328125,82.67578125,0.12541015625000002,1.8427734375,776.5625,5.41015625
59,61.689453125,17.44140625,0.6783203124999999,0.10898437500000001,4.05859375,1.7861328125,82.67578125,0.12541015625000002,1.8427734375,726.5625,4.94921875
60,61.689453125,24.58984375,0.4216796875,0.152734375,4.75390625,0.7373046875,116.62109375,0.12615234375,0.8173828125,776.5625,4.94921875
61,23.603515625,17.44140625,0.4216796875,0.152734375,4.75390625,0.7373046875,116.62109375,0.12615234375,0.8173828125,776.5625,4.94921875
62,23.603515625,24.58984375,0.6783203124999999,0.152734375,4.75390625,0.7373046875,116.62109375,0.12615234375,0.8173828125,776.5625,4.94921875
63,23.603515625,24.58984375,0.4216796875,0.10898437500000001,4.75390625,0.7373046875,116.62109375,0.12615234375,0.8173828125,776.5625,4.94921875
64,23.603515625,24.58984375,0.4216796875,0.152734375,4.05859375,0.7373046875,116.62109375,0.12615234375,0.8173828125,776.5625,4.94921875
65,23.603515625,24.58984375,0.4216796875,0.152734375,4.75390625,1.7861328125,116.62109375,0.12615234375,0.8173828125,776.5625,4.94921875
66,23.603515625,24.58984375,0.4216796875,0.152734375,4.75390625,0.7373046875,82.67578125,0.12615234375,0.8173828125,776.5625,4.94921875
67,23.603515625,24.58984375,0.4216796875,0.152734375,4.75390625,0.7373046875,116.62109375,0.12541015625000002,0.8173828125,776.5625,4.94921875
68,23.603515625,24.58984375,0.4216796875,0.152734375,4.75390625,0.7373046875,116.62109375,0.12615234375,1.8427734375,776.5625,4.94921875
69,23.603515625,24.58984375,0.4216796875,0.152734375,4.75390625,0.7373046875,116.62109375,0.12615234375,0.8173828125,726.5625,4.94921875
70,23.603515625,24.58984375,0.4216796875,0.152734375,4.75390625,0.7373046875,116.62109375,0.12615234375,0.8173828125,776.5625,5.41015625
71,23.603515625,24.58984375,0.4216796875,0.152734375,4.75390625,0.7373046875,116.62109375,0.12615234375,0.8173828125,776.5625,4.94921875
72,24.189453125,32.44140625,0.5283203125,0.208984375,5.05859375,1.0361328125,137.67578125,0.03041015625,0.5927734375,326.5625,4.41015625
73,61.103515625,32.44140625,0.5283203125,0.208984375,5.05859375,1.0361328125,137.67578125,0.03041015625,0.5927734375,326.5625,4.41015625
